dia_Id,Dia;hora_Id,Hora,dia_Id;Dir.Med._a_1100cm,Humedad._a_620cm,Irradia.._a_200cm,Presion._a_150cm,Sig.Dir._a_1100cm,Sig.Vel._a_1100cm,Tem.Aire._a_620cm,Vel.Max._a_1100cm,Vel.Med._a_1100cm,hora_Id
"0,""2016-8-01""";"51,""08:30"",0";"323.9,""78.82"",""373.8"",""959.09"",""26.18"",""0.61"",""17.87"",""2.55"",""1.1"",51"
"0,""2016-8-01""";"52,""08:40"",0";"359.7,""77.87"",""360.1"",""959.15"",""36.76"",""0.59"",""17.98"",""2.84"",""1.08"",52"
"0,""2016-8-01""";"53,""08:50"",0";"18.44,""77.35"",""520.1"",""959.08"",""17.06"",""0.56"",""17.95"",""3.04"",""1.13"",53"
"0,""2016-8-01""";"54,""09:00"",0";"324.4,""75.5"",""500.9"",""959.01"",""52.14"",""0.58"",""18.36"",""2.84"",""1.02"",54"
"0,""2016-8-01""";"55,""09:10"",0";"342.6,""73.98"",""387.1"",""959.02"",""18.82"",""0.6"",""18.75"",""2.84"",""1.0"",55"
"0,""2016-8-01""";"56,""09:20"",0";"25.45,""73.6"",""379.9"",""959.09"",""70.11"",""0.61"",""18.73"",""2.55"",""0.72"",56"
"0,""2016-8-01""";"57,""09:30"",0";"329.3,""71.32"",""402.6"",""959.1"",""39.23"",""0.89"",""19.16"",""3.92"",""1.34"",57"
"0,""2016-8-01""";"58,""09:40"",0";"32.95,""72.2"",""439.4"",""959.14"",""16.5"",""0.58"",""18.76"",""3.14"",""1.39"",58"
"0,""2016-8-01""";"59,""09:50"",0";"27.39,""68.48"",""737.8"",""959.15"",""27.47"",""1.0"",""19.55"",""4.9"",""1.44"",59"
"0,""2016-8-01""";"60,""10:00"",0";"23.41,""66.73"",""482.0"",""959.14"",""21.85"",""1.11"",""19.75"",""4.21"",""1.68"",60"
"0,""2016-8-01""";"61,""10:10"",0";"56.25,""68.46"",""450.2"",""959.13"",""30.24"",""0.97"",""19.31"",""5.49"",""2.36"",61"
"0,""2016-8-01""";"62,""10:20"",0";"49.56,""67.21"",""386.5"",""959.07"",""33.12"",""1.22"",""19.52"",""4.9"",""2.3"",62"
"0,""2016-8-01""";"63,""10:30"",0";"42.93,""65.14"",""488.8"",""959.01"",""31.47"",""0.93"",""20.05"",""4.31"",""1.22"",63"
"0,""2016-8-01""";"64,""10:40"",0";"9.81,""63.42"",""497.5"",""958.87"",""30.09"",""0.94"",""20.31"",""3.72"",""1.43"",64"
"0,""2016-8-01""";"65,""10:50"",0";"44.63,""63.27"",""587.9"",""958.87"",""29.78"",""1.17"",""20.03"",""6.08"",""2.75"",65"
"0,""2016-8-01""";"66,""11:00"",0";"20.27,""65.6"",""437.6"",""958.83"",""14.01"",""0.8"",""19.76"",""5.29"",""3.3"",66"
"0,""2016-8-01""";"67,""11:10"",0";"359.6,""64.48"",""765.3"",""958.76"",""23.2"",""1.26"",""20.07"",""6.17"",""3.5"",67"
"0,""2016-8-01""";"68,""11:20"",0";"27.56,""64.24"",""691.9"",""958.75"",""39.69"",""1.11"",""20.16"",""5.0"",""2.66"",68"
"0,""2016-8-01""";"69,""11:30"",0";"15.11,""64.29"",""616.4"",""958.8"",""25.39"",""1.54"",""20.25"",""6.47"",""3.2"",69"
"0,""2016-8-01""";"70,""11:40"",0";"52.75,""64.62"",""849.0"",""958.74"",""13.0"",""1.18"",""19.92"",""6.96"",""4.43"",70"
"0,""2016-8-01""";"71,""11:50"",0";"28.23,""63.35"",""1106.0"",""958.69"",""29.06"",""1.48"",""20.58"",""6.76"",""3.51"",71"
"0,""2016-8-01""";"72,""12:00"",0";"60.11,""63.67"",""903.0"",""958.6"",""25.76"",""1.1"",""20.41"",""6.17"",""3.41"",72"
"0,""2016-8-01""";"73,""12:10"",0";"13.13,""61.03"",""832.0"",""958.57"",""29.89"",""1.49"",""20.94"",""5.19"",""1.96"",73"
"0,""2016-8-01""";"74,""12:20"",0";"56.68,""63.31"",""815.0"",""958.55"",""16.6"",""1.39"",""20.67"",""6.86"",""3.85"",74"
"0,""2016-8-01""";"75,""12:30"",0";"7.99,""63.26"",""972.0"",""958.55"",""20.35"",""1.14"",""20.83"",""6.57"",""3.42"",75"
"0,""2016-8-01""";"76,""12:40"",0";"46.0,""62.64"",""917.0"",""958.55"",""20.99"",""1.66"",""20.8"",""7.35"",""3.84"",76"
"0,""2016-8-01""";"77,""12:50"",0";"33.49,""62.23"",""792.2"",""958.43"",""24.75"",""1.03"",""20.8"",""6.37"",""4.01"",77"
"0,""2016-8-01""";"78,""13:00"",0";"43.66,""59.68"",""972.0"",""958.38"",""34.17"",""1.4"",""21.43"",""7.06"",""3.49"",78"
"0,""2016-8-01""";"79,""13:10"",0";"37.65,""61.9"",""953.0"",""958.32"",""15.77"",""1.27"",""21.1"",""7.74"",""4.86"",79"
"0,""2016-8-01""";"80,""13:20"",0";"26.17,""60.91"",""919.0"",""958.29"",""23.93"",""1.35"",""21.32"",""6.96"",""3.77"",80"
"0,""2016-8-01""";"81,""13:30"",0";"36.49,""60.26"",""927.0"",""958.21"",""28.98"",""1.32"",""21.33"",""7.15"",""3.89"",81"
"0,""2016-8-01""";"82,""13:40"",0";"36.68,""59.2"",""904.0"",""958.16"",""30.46"",""1.02"",""21.84"",""7.25"",""3.46"",82"
"0,""2016-8-01""";"83,""13:50"",0";"15.86,""58.32"",""877.0"",""958.2"",""26.21"",""1.83"",""22.09"",""8.53"",""4.12"",83"
"0,""2016-8-01""";"84,""14:00"",0";"30.95,""59.73"",""876.0"",""958.19"",""18.39"",""1.43"",""21.79"",""8.53"",""4.79"",84"
"0,""2016-8-01""";"85,""14:10"",0";"32.77,""60.37"",""857.0"",""958.15"",""19.76"",""1.48"",""21.86"",""7.45"",""4.55"",85"
"0,""2016-8-01""";"86,""14:20"",0";"40.04,""59.83"",""847.0"",""958.04"",""18.87"",""1.47"",""21.96"",""8.92"",""4.6"",86"
"0,""2016-8-01""";"87,""14:30"",0";"30.36,""60.21"",""832.0"",""958.0"",""18.56"",""1.3"",""22.05"",""9.11"",""5.62"",87"
"0,""2016-8-01""";"88,""14:40"",0";"43.38,""61.23"",""811.0"",""957.93"",""16.73"",""1.36"",""21.9"",""7.74"",""4.87"",88"
"0,""2016-8-01""";"89,""14:50"",0";"37.61,""59.91"",""785.3"",""957.93"",""22.45"",""1.39"",""22.2"",""8.62"",""5.17"",89"
"0,""2016-8-01""";"90,""15:00"",0";"41.96,""61.49"",""757.7"",""957.83"",""21.35"",""1.21"",""21.99"",""8.82"",""5.85"",90"
"0,""2016-8-01""";"91,""15:10"",0";"37.07,""62.32"",""734.3"",""957.89"",""18.46"",""1.4"",""21.75"",""8.43"",""5.52"",91"
"0,""2016-8-01""";"92,""15:20"",0";"42.42,""61.53"",""713.5"",""957.88"",""17.32"",""1.44"",""21.88"",""8.04"",""4.43"",92"
"0,""2016-8-01""";"93,""15:30"",0";"13.62,""60.31"",""677.7"",""957.93"",""25.36"",""1.52"",""22.33"",""8.04"",""4.88"",93"
"0,""2016-8-01""";"94,""15:40"",0";"20.23,""62.34"",""657.4"",""958.0"",""19.2"",""1.47"",""21.82"",""8.62"",""5.34"",94"
"0,""2016-8-01""";"95,""15:50"",0";"34.5,""63.43"",""627.2"",""957.98"",""12.08"",""1.39"",""21.39"",""9.8"",""6.44"",95"
"0,""2016-8-01""";"96,""16:00"",0";"27.5,""63.5"",""602.1"",""957.94"",""19.8"",""1.63"",""21.48"",""8.92"",""5.96"",96"
"0,""2016-8-01""";"97,""16:10"",0";"36.09,""63.22"",""574.1"",""957.84"",""16.46"",""1.52"",""21.38"",""8.43"",""5.38"",97"
"0,""2016-8-01""";"98,""16:20"",0";"38.8,""62.01"",""546.7"",""957.85"",""13.51"",""1.64"",""21.47"",""9.7"",""5.75"",98"
"0,""2016-8-01""";"99,""16:30"",0";"32.77,""62.97"",""508.0"",""957.9"",""16.81"",""1.52"",""21.42"",""8.82"",""6.0"",99"
"0,""2016-8-01""";"100,""16:40"",0";"27.62,""63.96"",""468.0"",""957.9"",""25.93"",""1.58"",""21.47"",""8.43"",""4.83"",100"
