Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);CO 8h - Air Quality;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - Air Quality;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - Air Quality;PM2,5 (µg/m3);PM2,5 - Air Quality;Tolueno (µg/m3);ICA Estación
04/03/2016;0,56;;0,34;Muy buena / Oso ona;0,29;5;50;Muy buena / Oso ona;28;0,92;10;Muy buena / Oso ona;2;Muy buena / Oso ona;1,75;Muy buena / Oso ona
03/03/2016;0,39;;0,28;Muy buena / Oso ona;0,33;;;Sin datos / Daturik gabe;;1,21;12;Muy buena / Oso ona;3;Muy buena / Oso ona;0,67;Muy buena / Oso ona
02/03/2016;0,82;;0,48;Muy buena / Oso ona;0,43;;;Sin datos / Daturik gabe;;1,45;19;Muy buena / Oso ona;8;Muy buena / Oso ona;2,76;Muy buena / Oso ona
01/03/2016;0,46;;0,28;Muy buena / Oso ona;0,39;;;Sin datos / Daturik gabe;;1,25;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;1,25;Muy buena / Oso ona
29/02/2016;0,41;;0,23;Muy buena / Oso ona;0,13;;;Sin datos / Daturik gabe;;0,16;19;Muy buena / Oso ona;10;Muy buena / Oso ona;0,3;Muy buena / Oso ona
28/02/2016;0,49;;0,25;Muy buena / Oso ona;0,13;2;37;Muy buena / Oso ona;19;0,13;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;0,38;Muy buena / Oso ona
27/02/2016;0,34;;0,2;Muy buena / Oso ona;0,16;1;29;Muy buena / Oso ona;16;0,32;4;Muy buena / Oso ona;4;Muy buena / Oso ona;0,4;Muy buena / Oso ona
26/02/2016;0,4;;0,19;Muy buena / Oso ona;0,25;2;42;Muy buena / Oso ona;26;0,61;7;Muy buena / Oso ona;4;Muy buena / Oso ona;0,73;Muy buena / Oso ona
25/02/2016;0,41;;0,23;Muy buena / Oso ona;0,36;2;54;Buena / Ona;25;1,53;7;Muy buena / Oso ona;4;Muy buena / Oso ona;0,92;Buena / Ona
24/02/2016;0,6;;0,34;Muy buena / Oso ona;0,45;15;60;Buena / Ona;51;1,59;18;Muy buena / Oso ona;9;Muy buena / Oso ona;2,31;Buena / Ona
23/02/2016;0,62;;0,28;Muy buena / Oso ona;1,09;14;69;Buena / Ona;62;4,93;25;Muy buena / Oso ona;10;Muy buena / Oso ona;2,44;Buena / Ona
22/02/2016;0,8;;0,46;Muy buena / Oso ona;0,47;28;79;Buena / Ona;87;1,72;82;Mala / Txarra;24;Buena / Ona;2,51;Mala / Txarra
21/02/2016;0,91;;0,4;Muy buena / Oso ona;0,7;17;91;Buena / Ona;67;3;;Sin datos / Daturik gabe;12;Muy buena / Oso ona;3,42;Buena / Ona
20/02/2016;1,14;;0,5;Muy buena / Oso ona;0,58;33;71;Buena / Ona;96;2,18;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;4,12;Buena / Ona
19/02/2016;0,96;;0,42;Muy buena / Oso ona;0,71;37;78;Buena / Ona;105;2,9;22;Muy buena / Oso ona;10;Muy buena / Oso ona;2,99;Buena / Ona
18/02/2016;0,44;;0,21;Muy buena / Oso ona;0,34;1;49;Muy buena / Oso ona;25;1,27;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;0,93;Muy buena / Oso ona
